"answer_key_id","answer_key_profile","method","candidate_pattern","syllable_count_relation","rank","candidate","rating"
"ak_001","canonical_disyllabic","llm","canonical","same","1","fita","usable"
"ak_001","canonical_disyllabic","llm","canonical","different","1","fivela","ideal"
"ak_001","canonical_disyllabic","llm","noncanonical","same","1","filme","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","different","1","fim","poor"
"ak_001","canonical_disyllabic","rule_based","canonical","same","1","fita","usable"
"ak_001","canonical_disyllabic","rule_based","canonical","different","1","fivela","ideal"
"ak_001","canonical_disyllabic","rule_based","noncanonical","same","1","filha","ideal"
"ak_001","canonical_disyllabic","rule_based","noncanonical","different","1","filhota","poor"
"ak_001","canonical_disyllabic","llm","canonical","same","2","vila","ideal"
"ak_001","canonical_disyllabic","llm","canonical","different","2","fígado","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","same","2","firma","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","different","2","flor","poor"
"ak_001","canonical_disyllabic","rule_based","canonical","same","2","vila","ideal"
"ak_001","canonical_disyllabic","rule_based","canonical","different","2","vitela","ideal"
"ak_001","canonical_disyllabic","rule_based","noncanonical","same","2","chita","usable"
"ak_001","canonical_disyllabic","rule_based","noncanonical","different","2","viela","usable"
"ak_001","canonical_disyllabic","llm","canonical","same","3","liga","usable"
"ak_001","canonical_disyllabic","llm","canonical","different","3","pirata","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","same","3","fiscal","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","different","3","floresta","poor"
"ak_001","canonical_disyllabic","rule_based","canonical","same","3","vilã","usable"
"ak_001","canonical_disyllabic","rule_based","canonical","different","3","figura","usable"
"ak_001","canonical_disyllabic","rule_based","noncanonical","same","3","fibra","poor"
"ak_001","canonical_disyllabic","rule_based","noncanonical","different","3","viola","usable"
"ak_001","canonical_disyllabic","llm","canonical","same","4","rima","usable"
"ak_001","canonical_disyllabic","llm","canonical","different","4","pipoca","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","same","4","filtro","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","different","4","florista","poor"
"ak_001","canonical_disyllabic","rule_based","canonical","same","4","rita","poor"
"ak_001","canonical_disyllabic","rule_based","canonical","different","4","visita","poor"
"ak_001","canonical_disyllabic","rule_based","noncanonical","same","4","ficha","poor"
"ak_001","canonical_disyllabic","rule_based","noncanonical","different","4","vitrola","poor"
"ak_001","canonical_disyllabic","llm","canonical","same","5","dica","usable"
"ak_001","canonical_disyllabic","llm","canonical","different","5","tigela","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","same","5","pista","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","different","5","fritura","poor"
"ak_001","canonical_disyllabic","rule_based","canonical","same","5","filé","poor"
"ak_001","canonical_disyllabic","rule_based","canonical","different","5","cilada","poor"
"ak_001","canonical_disyllabic","rule_based","noncanonical","same","5","vilão","poor"
"ak_001","canonical_disyllabic","rule_based","noncanonical","different","5","fiança","usable"
"ak_001","canonical_disyllabic","llm","canonical","same","6","pipa","poor"
"ak_001","canonical_disyllabic","llm","canonical","different","6","cigana","usable"
"ak_001","canonical_disyllabic","llm","noncanonical","same","6","lista","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","different","6","fricote","poor"
"ak_001","canonical_disyllabic","rule_based","canonical","same","6","vida","usable"
"ak_001","canonical_disyllabic","rule_based","canonical","different","6","sílaba","poor"
"ak_001","canonical_disyllabic","rule_based","noncanonical","same","6","vital","poor"
"ak_001","canonical_disyllabic","rule_based","noncanonical","different","6","figueira","poor"
"ak_001","canonical_disyllabic","llm","canonical","same","7","bica","usable"
"ak_001","canonical_disyllabic","llm","canonical","different","7","sirene","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","same","7","vista","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","different","7","flanela","poor"
"ak_001","canonical_disyllabic","rule_based","canonical","same","7","fala","poor"
"ak_001","canonical_disyllabic","rule_based","canonical","different","7","ricota","poor"
"ak_001","canonical_disyllabic","rule_based","noncanonical","same","7","vista","poor"
"ak_001","canonical_disyllabic","rule_based","noncanonical","different","7","fileira","poor"
"ak_001","canonical_disyllabic","llm","canonical","same","8","pica","not_a_noun"
"ak_001","canonical_disyllabic","llm","canonical","different","8","girafa","usable"
"ak_001","canonical_disyllabic","llm","noncanonical","same","8","risma","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","different","8","flamingo","poor"
"ak_001","canonical_disyllabic","rule_based","canonical","same","8","figa","usable"
"ak_001","canonical_disyllabic","rule_based","canonical","different","8","virada","poor"
"ak_001","canonical_disyllabic","rule_based","noncanonical","same","8","filho","poor"
"ak_001","canonical_disyllabic","rule_based","noncanonical","different","8","fissura","poor"
"ak_001","canonical_disyllabic","llm","canonical","same","9","tira","poor"
"ak_001","canonical_disyllabic","llm","canonical","different","9","tirano","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","same","9","risco","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","different","9","fidalgo","poor"
"ak_001","canonical_disyllabic","rule_based","canonical","same","9","fito","poor"
"ak_001","canonical_disyllabic","rule_based","canonical","different","9","fábula","poor"
"ak_001","canonical_disyllabic","rule_based","noncanonical","same","9","fissão","poor"
"ak_001","canonical_disyllabic","rule_based","noncanonical","different","9","virilha","poor"
"ak_001","canonical_disyllabic","llm","canonical","same","10","sina","poor"
"ak_001","canonical_disyllabic","llm","canonical","different","10","tijolo","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","same","10","cisco","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","different","10","fileira","usable"
"ak_001","canonical_disyllabic","rule_based","canonical","same","10","vala","poor"
"ak_001","canonical_disyllabic","rule_based","canonical","different","10","favela","poor"
"ak_001","canonical_disyllabic","rule_based","noncanonical","same","10","fritas","poor"
"ak_001","canonical_disyllabic","rule_based","noncanonical","different","10","ciclista","poor"
"ak_001","canonical_disyllabic","llm","canonical","same","11","mina","poor"
"ak_001","canonical_disyllabic","llm","canonical","different","11","vinheta","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","same","11","pisco","poor"
"ak_001","canonical_disyllabic","llm","noncanonical","different","11","finança","poor"
"ak_001","canonical_disyllabic","rule_based","canonical","same","11","vela","usable"
"ak_001","canonical_disyllabic","rule_based","canonical","different","11","safira","poor"
"ak_001","canonical_disyllabic","rule_based","noncanonical","same","11","falha","poor"
"ak_001","canonical_disyllabic","rule_based","noncanonical","different","11","violar","not_a_noun"
